id,max_depth,num_round,colsample,subsample,lambda,trainloss1,trainloss2,trainloss3,trainloss4,trainloss5,testloss1,testloss2,testloss3,testloss4,testloss5,train_avg,test_avg
1,4,550,0.4,0.8,1,0.386294136533,0.382477621102,0.384749327804,0.384746858891,0.385206666678,0.729644137182,0.758050325296,0.743945207172,0.737547000401,0.732994624936,0.384694922202,0.740436258997
1,5,550,0.4,0.8,1,0.311275958829,0.308231581901,0.309783040152,0.309171415092,0.310440546469,0.731842049873,0.7634495167,0.747483478299,0.738415813053,0.731806389715,0.309780508489,0.742599449528
1,6,550,0.4,0.8,1,0.253530075209,0.250754821182,0.253169173872,0.25224049815,0.254067047007,0.735224057273,0.773054811402,0.75690904164,0.746394619593,0.738346161295,0.252752323084,0.749985738241
2,4,620,0.4,0.8,1,0.364480931148,0.360626784169,0.36276889835,0.362740524209,0.363413250295,0.72891605257,0.757679887743,0.743093618101,0.736688348261,0.731686603453,0.362806077634,0.739612902025
2,5,620,0.4,0.8,1,0.290107499777,0.287559986953,0.288852572695,0.28804808551,0.28943850395,0.732938035428,0.766083353113,0.74937878476,0.740235207126,0.73269706256,0.288801329777,0.744266488597
2,6,620,0.4,0.8,1,0.23440155533,0.231925210293,0.233945440089,0.233115318626,0.234636903784,0.740019754121,0.778130432557,0.762061124493,0.749970090988,0.742526663707,0.233604885624,0.754541613173
3,3,450,0.6,0.6,1,0.503120361077,0.497726135494,0.499944305039,0.501188679568,0.502843612739,0.748613466161,0.771132326996,0.756931938884,0.753284717365,0.750226894341,0.500964618783,0.756037868749
3,4,450,0.6,0.6,1,0.40482167653,0.400560771166,0.40356771532,0.403247624538,0.404181122246,0.739558955369,0.763645227697,0.749989794214,0.744121575913,0.737630063605,0.40327578196,0.74698912336
3,5,450,0.6,0.6,1,0.328868054873,0.326058348304,0.328223480079,0.327598419074,0.329373585239,0.741173924196,0.769633314524,0.752130607664,0.747087218832,0.737424104376,0.328024377514,0.749489833918
4,3,500,0.6,0.6,1,0.483644056819,0.477853763538,0.480369198237,0.481824125548,0.483406467873,0.745922332344,0.768027248951,0.754186971495,0.748625790582,0.746601744349,0.481419522403,0.752672817544
4,4,500,0.6,0.6,1,0.384713661523,0.380325921302,0.383470715404,0.38330278972,0.384126940332,0.738928222444,0.763431460869,0.748145152869,0.742617289097,0.736267888673,0.383188005656,0.74587800279
4,5,500,0.6,0.6,1,0.309143441078,0.306494009687,0.308403838245,0.308192831018,0.30989422157,0.742367068648,0.771504012213,0.752674592878,0.747728526995,0.738293437625,0.30842566832,0.750513527672
6,3,550,0.6,0.7,1,0.465748052355,0.46008459825,0.463328477122,0.463768759285,0.465212525987,0.73738557129,0.766910952022,0.748525012505,0.740887970309,0.740803442247,0.4636284826,0.746902589675
6,4,550,0.6,0.7,1,0.364366453973,0.36168540294,0.363119514461,0.363392295067,0.364324606777,0.732805522931,0.763383289605,0.743627495521,0.736880907919,0.732280704553,0.363377654644,0.741795584106
6,5,550,0.6,0.7,1,0.288037683052,0.285556267951,0.287232336886,0.28781403665,0.288809916512,0.736323114046,0.770206252103,0.748518717634,0.743339739959,0.737106323366,0.28749004821,0.747098829422
7,3,600,0.6,0.7,1,0.449409202415,0.443645446036,0.446758501815,0.447559542458,0.448890431871,0.735156443756,0.764561388051,0.746271286974,0.73903038713,0.738257695407,0.447252624919,0.744655440264
7,4,600,0.6,0.7,1,0.34794468224,0.345247751526,0.346804348505,0.347041407349,0.347708307687,0.732733280026,0.763574983452,0.743501274494,0.737147622824,0.733002348141,0.346949299461,0.741991901788
7,5,600,0.6,0.7,1,0.272734238136,0.270158959995,0.27203609715,0.272347831623,0.273378210072,0.738208776326,0.772247154568,0.751567851541,0.746164773963,0.738892673228,0.272131067395,0.749416245925
8,5,550,0.4,0.7,3,0.354108401809,0.350359382272,0.352825198568,0.351435550162,0.353347175061,0.729344662158,0.758707592574,0.741517690744,0.736127758564,0.729809408253,0.352415141574,0.739101422459
8,5,550,0.4,0.7,5,0.378992733417,0.375247624405,0.377440486569,0.3770364084,0.378048451669,0.727304054083,0.755403368495,0.740326340336,0.735742906489,0.725254003143,0.377353140892,0.736806134509
8,5,550,0.4,0.7,12,0.428539649079,0.424748313654,0.427658225927,0.426978464789,0.429190718371,0.727134673443,0.75412392842,0.741940967264,0.734518646472,0.729073791679,0.427423074364,0.737358401456
